# Galactic Survey extended grid (glong +5 to +7)
# Prepared by P. Backus
# Freq 1720 MHz
# Grid Spacing arcmin degrees
# Long          7.77  0.129523
# Lat           2.62  0.043690
# dl/db         0.90  0.015
#
# GalLong(deg),GalLat(deg)
#
5.201397,0.436900
5.330920,0.436900
5.460443,0.436900
5.589966,0.436900
5.719489,0.436900
5.849012,0.436900
5.978535,0.436900
6.108058,0.436900
6.237581,0.436900
6.367104,0.436900
6.496627,0.436900
6.626150,0.436900
6.755673,0.436900
6.885196,0.436900
7.014719,0.436900
5.160443,-0.436900
5.289966,-0.436900
5.419489,-0.436900
5.549012,-0.436900
5.678535,-0.436900
5.808058,-0.436900
5.937581,-0.436900
6.067104,-0.436900
6.196627,-0.436900
6.326150,-0.436900
6.455673,-0.436900
6.585196,-0.436900
6.714719,-0.436900
6.844242,-0.436900
6.973765,-0.436900
5.086874,0.480590
5.216397,0.480590
5.345920,0.480590
5.475443,0.480590
5.604966,0.480590
5.734489,0.480590
5.864012,0.480590
5.993535,0.480590
6.123058,0.480590
6.252581,0.480590
6.382104,0.480590
6.511627,0.480590
6.641150,0.480590
6.770673,0.480590
6.900196,0.480590
7.029719,0.480590
5.145443,-0.480590
5.274966,-0.480590
5.404489,-0.480590
5.534012,-0.480590
5.663535,-0.480590
5.793058,-0.480590
5.922581,-0.480590
6.052104,-0.480590
6.181627,-0.480590
6.311150,-0.480590
6.440673,-0.480590
6.570196,-0.480590
6.699719,-0.480590
6.829242,-0.480590
6.958765,-0.480590
5.101874,0.524280
5.231397,0.524280
5.360920,0.524280
5.490443,0.524280
5.619966,0.524280
5.749489,0.524280
5.879012,0.524280
6.008535,0.524280
6.138058,0.524280
6.267581,0.524280
6.397104,0.524280
6.526627,0.524280
6.656150,0.524280
6.785673,0.524280
6.915196,0.524280
7.044719,0.524280
5.130443,-0.524280
5.259966,-0.524280
5.389489,-0.524280
5.519012,-0.524280
5.648535,-0.524280
5.778058,-0.524280
5.907581,-0.524280
6.037104,-0.524280
6.166627,-0.524280
6.296150,-0.524280
6.425673,-0.524280
6.555196,-0.524280
6.684719,-0.524280
6.814242,-0.524280
6.943765,-0.524280
5.116874,0.567970
5.246397,0.567970
