# Cygnus X-3 survey grid
# Prepared by Peter Backus 23 Nov 2009
# Freq band 2840 - 3440 MHz
#
# Gal Longitude, Gal Latitude
#
81.0880,-0.1400
81.1730,-0.1400
81.2580,-0.1400
81.3430,-0.1400
79.3455,-0.0800
79.4305,-0.0800
79.5155,-0.0800
79.6005,-0.0800
79.6855,-0.0800
79.7705,-0.0800
79.8555,-0.0800
79.9405,-0.0800
80.0255,-0.0800
80.1105,-0.0800
80.1955,-0.0800
80.2805,-0.0800
80.3655,-0.0800
80.4505,-0.0800
80.5355,-0.0800
80.6205,-0.0800
80.7055,-0.0800
80.7905,-0.0800
80.8755,-0.0800
80.9605,-0.0800
81.0455,-0.0800
81.1305,-0.0800
81.2155,-0.0800
81.3005,-0.0800
79.3880,-0.0200
79.4730,-0.0200
79.5580,-0.0200
79.6430,-0.0200
79.7280,-0.0200
79.8130,-0.0200
79.8980,-0.0200
79.9830,-0.0200
80.0680,-0.0200
80.1530,-0.0200
80.2380,-0.0200
80.3230,-0.0200
80.4080,-0.0200
80.4930,-0.0200
80.5780,-0.0200
80.6630,-0.0200
80.7480,-0.0200
80.8330,-0.0200
80.9180,-0.0200
81.0030,-0.0200
81.0880,-0.0200
81.1730,-0.0200
81.2580,-0.0200
81.3430,-0.0200
79.3455,0.0400
79.4305,0.0400
79.5155,0.0400
79.6005,0.0400
79.6855,0.0400
79.7705,0.0400
79.8555,0.0400
79.9405,0.0400
80.0255,0.0400
80.1105,0.0400
80.1955,0.0400
80.2805,0.0400
80.3655,0.0400
80.4505,0.0400
80.5355,0.0400
80.6205,0.0400
80.7055,0.0400
80.7905,0.0400
80.8755,0.0400
80.9605,0.0400
81.0455,0.0400
81.1305,0.0400
81.2155,0.0400
81.3005,0.0400
79.3880,0.1000
79.4730,0.1000
79.5580,0.1000
79.6430,0.1000
79.7280,0.1000
79.8130,0.1000
79.8980,0.1000
79.9830,0.1000
80.0680,0.1000
80.1530,0.1000
80.2380,0.1000
80.3230,0.1000
80.4080,0.1000
80.4930,0.1000
80.5780,0.1000
80.6630,0.1000
80.7480,0.1000
80.8330,0.1000
80.9180,0.1000
81.0030,0.1000
81.0880,0.1000
81.1730,0.1000
81.2580,0.1000
81.3430,0.1000
79.3455,0.1600
79.4305,0.1600
79.5155,0.1600
79.6005,0.1600
79.6855,0.1600
79.7705,0.1600
79.8555,0.1600
79.9405,0.1600
80.0255,0.1600
80.1105,0.1600
80.1955,0.1600
80.2805,0.1600
80.3655,0.1600
80.4505,0.1600
80.5355,0.1600
80.6205,0.1600
80.7055,0.1600
80.7905,0.1600
80.8755,0.1600
80.9605,0.1600
81.0455,0.1600
81.1305,0.1600
81.2155,0.1600
81.3005,0.1600
79.3880,0.2200
79.4730,0.2200
79.5580,0.2200
79.6430,0.2200
79.7280,0.2200
79.8130,0.2200
79.8980,0.2200
79.9830,0.2200
80.0680,0.2200
80.1530,0.2200
80.2380,0.2200
80.3230,0.2200
80.4080,0.2200
80.4930,0.2200
80.5780,0.2200
80.6630,0.2200
80.7480,0.2200
80.8330,0.2200
80.9180,0.2200
81.0030,0.2200
81.0880,0.2200
81.1730,0.2200
81.2580,0.2200
81.3430,0.2200
79.3455,0.2800
79.4305,0.2800
79.5155,0.2800
79.6005,0.2800
79.6855,0.2800
79.7705,0.2800
79.8555,0.2800
79.9405,0.2800
80.0255,0.2800
80.1105,0.2800
80.1955,0.2800
80.2805,0.2800
80.3655,0.2800
80.4505,0.2800
80.5355,0.2800
80.6205,0.2800
80.7055,0.2800
80.7905,0.2800
80.8755,0.2800
80.9605,0.2800
81.0455,0.2800
81.1305,0.2800
81.2155,0.2800
81.3005,0.2800
79.3880,0.3400
79.4730,0.3400
79.5580,0.3400
79.6430,0.3400
79.7280,0.3400
79.8130,0.3400
79.8980,0.3400
79.9830,0.3400
80.0680,0.3400
80.1530,0.3400
80.2380,0.3400
80.3230,0.3400
80.4080,0.3400
80.4930,0.3400
80.5780,0.3400
80.6630,0.3400
80.7480,0.3400
80.8330,0.3400
80.9180,0.3400
81.0030,0.3400
81.0880,0.3400
81.1730,0.3400
81.2580,0.3400
81.3430,0.3400
79.3455,0.4000
79.4305,0.4000
79.5155,0.4000
79.6005,0.4000
79.6855,0.4000
79.7705,0.4000
79.8555,0.4000
79.9405,0.4000
80.0255,0.4000
80.1105,0.4000
80.1955,0.4000
80.2805,0.4000
80.3655,0.4000
80.4505,0.4000
80.5355,0.4000
80.6205,0.4000
80.7055,0.4000
80.7905,0.4000
80.8755,0.4000
80.9605,0.4000
81.0455,0.4000
81.1305,0.4000
81.2155,0.4000
81.3005,0.4000
79.3880,0.4600
79.4730,0.4600
79.5580,0.4600
79.6430,0.4600
79.7280,0.4600
79.8130,0.4600
79.8980,0.4600
79.9830,0.4600
80.0680,0.4600
80.1530,0.4600
80.2380,0.4600
80.3230,0.4600
80.4080,0.4600
80.4930,0.4600
80.5780,0.4600
80.6630,0.4600
80.7480,0.4600
80.8330,0.4600
80.9180,0.4600
81.0030,0.4600
81.0880,0.4600
81.1730,0.4600
81.2580,0.4600
81.3430,0.4600
79.3455,0.5200
79.4305,0.5200
79.5155,0.5200
79.6005,0.5200
79.6855,0.5200
79.7705,0.5200
79.8555,0.5200
79.9405,0.5200
80.0255,0.5200
80.1105,0.5200
80.1955,0.5200
80.2805,0.5200
80.3655,0.5200
80.4505,0.5200
80.5355,0.5200
80.6205,0.5200
80.7055,0.5200
80.7905,0.5200
80.8755,0.5200
80.9605,0.5200
81.0455,0.5200
81.1305,0.5200
81.2155,0.5200
81.3005,0.5200
79.3880,0.5800
79.4730,0.5800
79.5580,0.5800
79.6430,0.5800
79.7280,0.5800
79.8130,0.5800
79.8980,0.5800
79.9830,0.5800
80.0680,0.5800
80.1530,0.5800
80.2380,0.5800
