# $Id: gal-survey-grid-coords.csv,v 1.1 2007/12/19 23:15:03 kilsdonk Exp $
# Galactic Survey grid.
# Prepared by P. Backus
# Freq 1720 MHz
# Grid Spacing arcmin degrees
# Long          7.77  0.129523
# Lat           2.62  0.043690
# dl/db         0.90  0.015
#
# GalLong(deg),GalLat(deg),RA(J2000-hours),Dec(J2000-deg)
#
2.734983,0.043690,17.863744,-26.570123
2.864506,0.043690,17.868665,-26.458708
2.994029,0.043690,17.873577,-26.347255
3.123552,0.043690,17.878479,-26.235764
3.253075,0.043690,17.883371,-26.124235
3.382598,0.043690,17.888255,-26.012670
3.512121,0.043690,17.893129,-25.901067
3.641644,0.043690,17.897993,-25.789428
3.771167,0.043690,17.902849,-25.677752
3.900690,0.043690,17.907695,-25.566040
4.030213,0.043690,17.912533,-25.454292
4.159736,0.043690,17.917361,-25.342508
4.289259,0.043690,17.922181,-25.230689
4.418782,0.043690,17.926991,-25.118835
4.548305,0.043690,17.931793,-25.006946
4.677828,0.043690,17.936586,-24.895022
4.807351,0.043690,17.941371,-24.783063
4.936874,0.043690,17.946146,-24.671070
-5.066397,-0.043690,17.553050,-33.247606
-4.936874,-0.043690,17.558668,-33.138959
-4.807351,-0.043690,17.564271,-33.030255
-4.677828,-0.043690,17.569861,-32.921495
-4.548305,-0.043690,17.575437,-32.812679
-4.418782,-0.043690,17.580999,-32.703808
-4.289259,-0.043690,17.586548,-32.594882
-4.159736,-0.043690,17.592083,-32.485901
-4.030213,-0.043690,17.597605,-32.376866
-3.900690,-0.043690,17.603114,-32.267778
-3.771167,-0.043690,17.608610,-32.158635
-3.641644,-0.043690,17.614092,-32.049440
-3.512121,-0.043690,17.619561,-31.940191
-3.382598,-0.043690,17.625018,-31.830890
-3.253075,-0.043690,17.630461,-31.721537
-3.123552,-0.043690,17.635892,-31.612132
-2.994029,-0.043690,17.641309,-31.502676
-2.864506,-0.043690,17.646715,-31.393168
-2.734983,-0.043690,17.652107,-31.283610
-2.605460,-0.043690,17.657487,-31.174002
-2.475937,-0.043690,17.662855,-31.064343
-2.346414,-0.043690,17.668210,-30.954634
-2.216891,-0.043690,17.673553,-30.844876
-2.087368,-0.043690,17.678884,-30.735069
-1.957845,-0.043690,17.684203,-30.625213
-1.828322,-0.043690,17.689510,-30.515309
-1.698799,-0.043690,17.694804,-30.405356
-1.569276,-0.043690,17.700087,-30.295356
-1.439753,-0.043690,17.705358,-30.185308
-1.310230,-0.043690,17.710617,-30.075213
-1.180707,-0.043690,17.715865,-29.965071
-1.051184,-0.043690,17.721101,-29.854883
-0.921661,-0.043690,17.726325,-29.744648
-0.792138,-0.043690,17.731538,-29.634367
-0.662615,-0.043690,17.736740,-29.524041
-0.533092,-0.043690,17.741930,-29.413669
-0.403569,-0.043690,17.747109,-29.303252
-0.274046,-0.043690,17.752277,-29.192791
-0.144523,-0.043690,17.757434,-29.082285
-0.015000,-0.043690,17.762579,-28.971735
0.114523,-0.043690,17.767714,-28.861141
0.244046,-0.043690,17.772838,-28.750503
0.373569,-0.043690,17.777951,-28.639822
0.503092,-0.043690,17.783053,-28.529099
0.632615,-0.043690,17.788144,-28.418332
0.762138,-0.043690,17.793225,-28.307523
0.891661,-0.043690,17.798296,-28.196672
1.021184,-0.043690,17.803355,-28.085780
1.150707,-0.043690,17.808405,-27.974845
1.280230,-0.043690,17.813444,-27.863870
1.409753,-0.043690,17.818472,-27.752853
1.539276,-0.043690,17.823491,-27.641796
1.668799,-0.043690,17.828499,-27.530698
1.798322,-0.043690,17.833498,-27.419560
1.927845,-0.043690,17.838486,-27.308382
2.057368,-0.043690,17.843464,-27.197164
2.186891,-0.043690,17.848432,-27.085907
2.316414,-0.043690,17.853391,-26.974611
2.445937,-0.043690,17.858339,-26.863277
2.575460,-0.043690,17.863278,-26.751903
2.704983,-0.043690,17.868208,-26.640491
2.834506,-0.043690,17.873127,-26.529042
2.964029,-0.043690,17.878038,-26.417554
3.093552,-0.043690,17.882938,-26.306029
3.223075,-0.043690,17.887830,-26.194466
3.352598,-0.043690,17.892712,-26.082867
3.482121,-0.043690,17.897584,-25.971231
3.611644,-0.043690,17.902448,-25.859558
3.741167,-0.043690,17.907302,-25.747849
3.870690,-0.043690,17.912147,-25.636104
4.000213,-0.043690,17.916983,-25.524323
4.129736,-0.043690,17.921810,-25.412507
4.259259,-0.043690,17.926628,-25.300655
4.388782,-0.043690,17.931438,-25.188768
4.518305,-0.043690,17.936238,-25.076847
4.647828,-0.043690,17.941030,-24.964891
4.777351,-0.043690,17.945813,-24.852900
4.906874,-0.043690,17.950588,-24.740876
5.036397,-0.043690,17.955353,-24.628818
-5.021397,0.087380,17.546251,-33.138429
-4.891874,0.087380,17.551870,-33.029850
-4.762351,0.087380,17.557475,-32.921215
-4.632828,0.087380,17.563066,-32.812523
-4.503305,0.087380,17.568643,-32.703775
-4.373782,0.087380,17.574207,-32.594972
-4.244259,0.087380,17.579757,-32.486113
-4.114736,0.087380,17.585294,-32.377199
-3.985213,0.087380,17.590818,-32.268231
-3.855690,0.087380,17.596328,-32.159208
-3.726167,0.087380,17.601825,-32.050132
-3.596644,0.087380,17.607309,-31.941002
-3.467121,0.087380,17.612780,-31.831819
-3.337598,0.087380,17.618238,-31.722583
-3.208075,0.087380,17.623683,-31.613295
-3.078552,0.087380,17.629115,-31.503955
-2.949029,0.087380,17.634535,-31.394563
-2.819506,0.087380,17.639941,-31.285119
-2.689983,0.087380,17.645336,-31.175625
-2.560460,0.087380,17.650718,-31.066080
-2.430937,0.087380,17.656087,-30.956484
-2.301414,0.087380,17.661444,-30.846838
-2.171891,0.087380,17.666789,-30.737143
-2.042368,0.087380,17.672121,-30.627398
-1.912845,0.087380,17.677442,-30.517604
-1.783322,0.087380,17.682750,-30.407762
-1.653799,0.087380,17.688047,-30.297870
-1.524276,0.087380,17.693331,-30.187931
-1.394753,0.087380,17.698604,-30.077944
-1.265230,0.087380,17.703865,-29.967910
-1.135707,0.087380,17.709115,-29.857828
-1.006184,0.087380,17.714352,-29.747700
-0.876661,0.087380,17.719579,-29.637525
-0.747138,0.087380,17.724793,-29.527303
-0.617615,0.087380,17.729997,-29.417036
-0.488092,0.087380,17.735189,-29.306723
-0.358569,0.087380,17.740370,-29.196365
-0.229046,0.087380,17.745539,-29.085962
-0.099523,0.087380,17.750698,-28.975514
0.030000,0.087380,17.755845,-28.865022
0.159523,0.087380,17.760982,-28.754485
0.289046,0.087380,17.766108,-28.643905
0.418569,0.087380,17.771223,-28.533281
0.548092,0.087380,17.776327,-28.422614
0.677615,0.087380,17.781420,-28.311904
0.807138,0.087380,17.786503,-28.201151
0.936661,0.087380,17.791575,-28.090356
1.066184,0.087380,17.796637,-27.979519
1.195707,0.087380,17.801688,-27.868640
1.325230,0.087380,17.806729,-27.757719
1.454753,0.087380,17.811760,-27.646757
1.584276,0.087380,17.816780,-27.535754
1.713799,0.087380,17.821790,-27.424710
1.843322,0.087380,17.826791,-27.313626
1.972845,0.087380,17.831781,-27.202502
2.102368,0.087380,17.836761,-27.091338
2.231891,0.087380,17.841731,-26.980134
2.361414,0.087380,17.846692,-26.868891
2.490937,0.087380,17.851642,-26.757609
2.620460,0.087380,17.856583,-26.646287
2.749983,0.087380,17.861514,-26.534928
2.879506,0.087380,17.866436,-26.423530
3.009029,0.087380,17.871348,-26.312094
3.138552,0.087380,17.876251,-26.200620
3.268075,0.087380,17.881144,-26.089108
3.397598,0.087380,17.886028,-25.977560
3.527121,0.087380,17.890903,-25.865974
3.656644,0.087380,17.895768,-25.754351
3.786167,0.087380,17.900624,-25.642692
3.915690,0.087380,17.905472,-25.530997
4.045213,0.087380,17.910310,-25.419265
4.174736,0.087380,17.915139,-25.307498
4.304259,0.087380,17.919959,-25.195695
4.433782,0.087380,17.924770,-25.083857
4.563305,0.087380,17.929573,-24.971984
4.692828,0.087380,17.934366,-24.860076
4.822351,0.087380,17.939151,-24.748133
4.951874,0.087380,17.943928,-24.636156
-4.951874,-0.087380,17.560937,-33.175310
-4.822351,-0.087380,17.566540,-33.066583
-4.692828,-0.087380,17.572130,-32.957801
-4.563305,-0.087380,17.577705,-32.848962
-4.433782,-0.087380,17.583267,-32.740069
-4.304259,-0.087380,17.588815,-32.631120
-4.174736,-0.087380,17.594350,-32.522117
-4.045213,-0.087380,17.599872,-32.413060
-3.915690,-0.087380,17.605380,-32.303949
-3.786167,-0.087380,17.610875,-32.194785
-3.656644,-0.087380,17.616356,-32.085567
-3.527121,-0.087380,17.621825,-31.976297
-3.397598,-0.087380,17.627281,-31.866975
-3.268075,-0.087380,17.632724,-31.757600
-3.138552,-0.087380,17.638154,-31.648173
-3.009029,-0.087380,17.643571,-31.538696
-2.879506,-0.087380,17.648976,-31.429167
-2.749983,-0.087380,17.654368,-31.319588
-2.620460,-0.087380,17.659747,-31.209958
-2.490937,-0.087380,17.665114,-31.100278
-2.361414,-0.087380,17.670469,-30.990549
-2.231891,-0.087380,17.675812,-30.880770
-2.102368,-0.087380,17.681142,-30.770942
-1.972845,-0.087380,17.686460,-30.661065
-1.843322,-0.087380,17.691766,-30.551141
-1.713799,-0.087380,17.697060,-30.441168
-1.584276,-0.087380,17.702342,-30.331147
-1.454753,-0.087380,17.707613,-30.221079
-1.325230,-0.087380,17.712871,-30.110964
-1.195707,-0.087380,17.718118,-30.000802
-1.066184,-0.087380,17.723354,-29.890593
-0.936661,-0.087380,17.728577,-29.780338
-0.807138,-0.087380,17.733790,-29.670038
-0.677615,-0.087380,17.738991,-29.559692
-0.548092,-0.087380,17.744180,-29.449301
-0.418569,-0.087380,17.749359,-29.338864
-0.289046,-0.087380,17.754526,-29.228383
-0.159523,-0.087380,17.759682,-29.117858
-0.030000,-0.087380,17.764827,-29.007289
0.099523,-0.087380,17.769961,-28.896676
0.229046,-0.087380,17.775084,-28.786019
0.358569,-0.087380,17.780196,-28.675320
0.488092,-0.087380,17.785298,-28.564577
0.617615,-0.087380,17.790389,-28.453792
0.747138,-0.087380,17.795469,-28.342964
0.876661,-0.087380,17.800539,-28.232095
1.006184,-0.087380,17.805598,-28.121184
1.135707,-0.087380,17.810647,-28.010231
1.265230,-0.087380,17.815685,-27.899237
1.394753,-0.087380,17.820713,-27.788202
1.524276,-0.087380,17.825731,-27.677127
1.653799,-0.087380,17.830738,-27.566011
1.783322,-0.087380,17.835736,-27.454855
1.912845,-0.087380,17.840724,-27.343659
2.042368,-0.087380,17.845701,-27.232424
2.171891,-0.087380,17.850669,-27.121149
2.301414,-0.087380,17.855627,-27.009836
2.430937,-0.087380,17.860575,-26.898483
2.560460,-0.087380,17.865513,-26.787093
2.689983,-0.087380,17.870441,-26.675664
2.819506,-0.087380,17.875361,-26.564197
2.949029,-0.087380,17.880270,-26.452692
3.078552,-0.087380,17.885170,-26.341150
3.208075,-0.087380,17.890061,-26.229570
3.337598,-0.087380,17.894942,-26.117954
3.467121,-0.087380,17.899814,-26.006301
3.596644,-0.087380,17.904677,-25.894612
3.726167,-0.087380,17.909530,-25.782886
3.855690,-0.087380,17.914375,-25.671125
3.985213,-0.087380,17.919210,-25.559327
4.114736,-0.087380,17.924037,-25.447495
4.244259,-0.087380,17.928854,-25.335627
4.373782,-0.087380,17.933663,-25.223724
4.503305,-0.087380,17.938463,-25.111786
4.632828,-0.087380,17.943254,-24.999814
4.762351,-0.087380,17.948036,-24.887808
4.891874,-0.087380,17.952810,-24.775768
5.021397,-0.087380,17.957575,-24.663694
-5.006397,0.131070,17.543988,-33.102018
-4.876874,0.131070,17.549607,-32.993463
-4.747351,0.131070,17.555213,-32.884850
-4.617828,0.131070,17.560804,-32.776181
-4.488305,0.131070,17.566382,-32.667456
-4.358782,0.131070,17.571947,-32.558675
-4.229259,0.131070,17.577497,-32.449838
-4.099736,0.131070,17.583035,-32.340947
-3.970213,0.131070,17.588559,-32.232001
-3.840690,0.131070,17.594070,-32.123000
-3.711167,0.131070,17.599567,-32.013946
-3.581644,0.131070,17.605052,-31.904838
-3.452121,0.131070,17.610523,-31.795677
-3.322598,0.131070,17.615981,-31.686463
-3.193075,0.131070,17.621427,-31.577197
-3.063552,0.131070,17.626860,-31.467878
-2.934029,0.131070,17.632280,-31.358507
-2.804506,0.131070,17.637687,-31.249085
-2.674983,0.131070,17.643082,-31.139612
-2.545460,0.131070,17.648464,-31.030088
-2.415937,0.131070,17.653834,-30.920514
-2.286414,0.131070,17.659192,-30.810889
-2.156891,0.131070,17.664537,-30.701214
-2.027368,0.131070,17.669870,-30.591490
-1.897845,0.131070,17.675191,-30.481717
-1.768322,0.131070,17.680500,-30.371895
-1.638799,0.131070,17.685798,-30.262025
-1.509276,0.131070,17.691083,-30.152106
-1.379753,0.131070,17.696356,-30.042139
-1.250230,0.131070,17.701618,-29.932125
-1.120707,0.131070,17.706868,-29.822063
-0.991184,0.131070,17.712106,-29.711955
-0.861661,0.131070,17.717333,-29.601800
-0.732138,0.131070,17.722548,-29.491598
-0.602615,0.131070,17.727752,-29.381351
-0.473092,0.131070,17.732945,-29.271058
-0.343569,0.131070,17.738126,-29.160719
-0.214046,0.131070,17.743297,-29.050335
-0.084523,0.131070,17.748456,-28.939907
0.045000,0.131070,17.753604,-28.829434
0.174523,0.131070,17.758741,-28.718917
0.304046,0.131070,17.763867,-28.608355
0.433569,0.131070,17.768983,-28.497751
0.563092,0.131070,17.774088,-28.387102
0.692615,0.131070,17.779182,-28.276411
0.822138,0.131070,17.784265,-28.165677
0.951661,0.131070,17.789338,-28.054901
1.081184,0.131070,17.794400,-27.944082
1.210707,0.131070,17.799452,-27.833221
1.340230,0.131070,17.804494,-27.722319
1.469753,0.131070,17.809525,-27.611376
1.599276,0.131070,17.814546,-27.500391
1.728799,0.131070,17.819557,-27.389365
1.858322,0.131070,17.824558,-27.278299
1.987845,0.131070,17.829549,-27.167193
2.117368,0.131070,17.834529,-27.056047
2.246891,0.131070,17.839500,-26.944860
2.376414,0.131070,17.844461,-26.833635
2.505937,0.131070,17.849413,-26.722370
2.635460,0.131070,17.854354,-26.611067
2.764983,0.131070,17.859286,-26.499724
2.894506,0.131070,17.864208,-26.388344
3.024029,0.131070,17.869121,-26.276925
3.153552,0.131070,17.874025,-26.165468
3.283075,0.131070,17.878918,-26.053973
3.412598,0.131070,17.883803,-25.942442
3.542121,0.131070,17.888678,-25.830873
3.671644,0.131070,17.893544,-25.719267
3.801167,0.131070,17.898401,-25.607625
3.930690,0.131070,17.903249,-25.495946
4.060213,0.131070,17.908088,-25.384231
4.189736,0.131070,17.912917,-25.272480
4.319259,0.131070,17.917738,-25.160694
4.448782,0.131070,17.922550,-25.048872
4.578305,0.131070,17.927353,-24.937015
4.707828,0.131070,17.932148,-24.825123
4.837351,0.131070,17.936933,-24.713196
4.966874,0.131070,17.941710,-24.601235
-4.966874,-0.131070,17.563209,-33.211652
-4.837351,-0.131070,17.568812,-33.102902
-4.707828,-0.131070,17.574400,-32.994097
-4.578305,-0.131070,17.579975,-32.885236
-4.448782,-0.131070,17.585537,-32.776320
-4.319259,-0.131070,17.591084,-32.667349
