"Planet Name","St. Dist","St. Spec. Type","St. Right Asc.","St. Decli.","St. Mag. V.",
"HD 149026 b","78.9","G0 IV","16 30 29","+38 20 50","8.15",
"HD 149143 b","63","G0 IV","16 32 51","+02 05 05","7.9",
"HD 149382 b","74","B5 D","16 34 23","-04 00 52","8.95",
"HD 153950 b","49.6","F8V","17 04 31","-43 18 35","7.39",
"HD 154345 b","18.06","G8V","17 02 36","+47 04 55","6.74",
"HD 154672 b","65.8","G3IV","17 10 05","-56 26 57","8.22",
"HD 154857 b","68.5","G5V","17 11 15","-56 40 50","7.25",
"HD 155358 b","42.7","G0","17 09 35","+33 21 21","7.5",
"HD 155358 c","42.7","G0","17 09 35","+33 21 21","7.5",
"HD 156411 b","55.1","F8","17 19 51","-48 32 58","6.67",
"HD 156846 b","49","G0V","17 20 34","-19 20 01","6.51",
"HD 159868 b","52.7","G5V","17 38 60","-43 08 44","7.24",
"HD 160691 b","15.3","G3 IV-V","17 44 08","-51 50 02","5.15",
"HD 160691 c","15.3","G3 IV-V","17 44 08","-51 50 02","5.15",
"HD 160691 d","15.3","G3 IV-V","17 44 08","-51 50 02","5.15",
"HD 160691 e","15.3","G3 IV-V","17 44 08","-51 50 02","5.15",
"HD 16141 b","35.9","G5 IV","02 35 19","-03 33 38","6.78",
"HD 16175 b","59.8","G0","02 37 02","+42 03 45","7.28",
"HD 162020 b","31.26","K2 V","17 50 38","-40 19 06","9.18",
"HD 16417 b","25.5","G1V","02 36 59","-34 34 41","5.78",
"HD 164922 b","21.93","K0V","18 02 30","+26 18 46","7.01",
"HD 167042 b","50","K1III","18 10 32","+54 17 12","5.97",
"HD 16760 b","50","G5V","02 42 21","+38 37 07","8.74",
"HD 168443 b","37.88","G5","18 20 04","-09 35 34","6.92",
"HD 168443 c","37.88","G5","18 20 04","-09 35 34","6.92",
"HD 168746 b","43.12","G5","18 21 49","-11 55 21","7.95",
"HD 169830 b","36.32","F8 V","18 27 49","-29 49 00","5.9",
"HD 169830 c","36.32","F8 V","18 27 49","-29 49 00","5.9",
"HD 170469 b","64.97","G5IV","18 29 11","+11 41 44","8.21",
"HD 17092 b","109",,"02 46 22","+49 39 11","7.73",
"HD 171028 b","90","G0","18 32 15","+06 56 45","8.31",
"HD 171238 b","50.28","KOV","18 34 44","-28 04 20","8.66",
"HD 17156 b","78.24","G0","02 49 44","+71 45 12","8.17",
"HD 173416 b","135","G8","18 43 36","+36 33 24","6.06",
"HD 175541 b","128","G8IV","18 55 41","+04 15 55","8.03",
"HD 177830 b","59","K0","19 05 20","+25 55 14","7.17",
"HD 178911 B b","46.73","G5","19 09 03","+34 35 59","7.98",
"HD 179079 b","63.69","G5IV","19 11 10","-02 38 18","7.95",
"HD 179949 b","27","F8 V","19 15 33","-24 10 45","6.25",
"HD 181433 b","26.15","K3IV","19 25 10","-66 28 08","8.38",
"HD 181433 c","26.15","K3IV","19 25 10","-66 28 08","8.38",
"HD 181433 d","26.15","K3IV","19 25 10","-66 28 08","8.38",
"HD 181720 b","55.9","G1","19 22 53","-32 55 09","7.86",
"HD 183263 b","53","G2IV","19 28 24","+08 21 28","7.86",
"HD 183263 c","53","G2IV","19 28 24","+08 21 28","7.86",
"HD 185269 b","47","G0IV","19 37 12","+28 30 00","6.67",
"HD 187085 b","44.98","G0 V","19 49 33","-37 46 50","7.22",
"HD 187123 b","50","G5","19 46 57","+34 25 15","7.86",
"HD 187123 c","50","G5","19 46 57","+34 25 15","7.86",
"HD 188015 b","52.6","G5IV","19 52 04","+28 06 01","8.22",
"HD 189733 b","19.3","K1-K2","20 00 43","+22 42 39","7.67",
"HD 190228 b","66.11","G5IV","20 03 00","+28 18 24","7.3",
"HD 190360 b","15.89","G6 IV","20 03 37","+29 53 48","5.71",
"HD 190360 c","15.89","G6 IV","20 03 37","+29 53 48","5.71",
"HD 190647 b","54.2","G5","20 07 20","-35 32 19","7.78",
"HD 190984 b","189.4","F8V","20 11 31","-64 37 14","8.73",
"HD 192263 b","19.9","K2 V","20 13 59","-00 52 00","7.79",
"HD 192699 b","67","G8IV","20 16 06","+04 34 5","6.44",
